wp_00,5,2635.0,1815.0,-38.0,0.0,0.0,0.0,0,0
wp_005,10,2635.0,1815.0,-38.0,0.0,0.0,0.0,-0.64,-0.64
wp_01,15,2635.0,1815.0,-38.0,-4,-4,2,0,0
wp_02,35,2580.0,1760.0,0.0,-5,-5,3,0,0
wp_03,55,2525.0,1705.0,30.0,-7.07,-7.07,0.0,0,0
wp_04,75,2500.0,1610.0,30.0,0.0,-10.0,0.0,0,0
wp_05,95,2500.0,1545.0,30.0,0.0,-10.0,0.0,0,0
wp_06,115,2440.0,1480.0,30.0,-9.4,2.94,1.76,0,0
wp_07,135,2280.0,1530.0,60.0,-9.68,1.72,1.81,0,0
wp_08,155,1745.0,1625.0,160.0,-8.0,0.0,-2.25,0,0
wp_09,175,1680.0,1625.0,145.0,0.0,0.0,-0.1,0,0
wp_10,195,1680.0,1625.0,141.0,0.0,0.0,0.0,0,0
